City_ID,City,Country,Lat,Lng,Max Temp,Current_Description,Hotel Name
0,Mataura,NZ,-46.1927,168.8643,49.48,few clouds,Ellie's Villa
2,Zhireken,RU,52.8249,117.3076,42.76,few clouds,
3,Albany,US,42.6001,-73.9662,78.91,overcast clouds,
5,Amga,RU,60.8953,131.9608,49.69,few clouds,Algys
7,Arcos,BR,-20.2819,-45.5394,77.97,few clouds,Hotel Real Palace
8,Nikolskoye,RU,59.7035,30.7861,60.69,scattered clouds,Tourist House - Sablino
10,Kopervik,NO,59.2835,5.3067,68.14,clear sky,Parken Terrasse Apartment Hotel
11,Busselton,AU,-33.65,115.3333,60.03,overcast clouds,Observatory Guest House
13,Thompson,CA,55.7435,-97.8558,78.96,broken clouds,Burntwood Hotel
14,Bluff,NZ,-46.6,168.3333,49.8,overcast clouds,Bluff Homestead - Guesthouse & Campervan Park
15,Neuquen,AR,-38.9516,-68.0591,57.09,clear sky,Hotel del Comahue
16,Kloulklubed,PW,7.0419,134.2556,77.5,broken clouds,Storyboard Beach Resort
18,Airai,TL,-8.9266,125.4092,55.47,scattered clouds,Juvinal Martin
20,Rikitea,PF,-23.1203,-134.9692,72.36,overcast clouds,Pension Maro'i
21,Saint-Philippe,RE,-21.3585,55.7679,74.79,light rain,"Chambres d'hôte ""La Trinité"""
22,Mgandu,TZ,-5.95,34.1333,63.39,scattered clouds,
24,Hobart,AU,-42.8794,147.3294,53.26,overcast clouds,Mantra on Collins Hobart
25,Leeton,AU,-34.5667,146.4,51.85,moderate rain,Historic Hydro Motor Inn
26,Kefamenanu,ID,-9.4467,124.4781,69.44,overcast clouds,Sokowindo Losmen
28,Guerrero Negro,MX,27.9769,-114.0611,71.8,clear sky,"Casa Laguna, Bed & Breakfast"
29,Jamestown,US,42.097,-79.2353,71.19,few clouds,Hampton Inn & Suites Jamestown
31,Lagoa,PT,39.05,-27.9833,59.47,scattered clouds,Casa Das Faias
33,Nanortalik,GL,60.1432,-45.2371,40.6,overcast clouds,Hotel Kap Farvel
36,Torres,BR,-29.3353,-49.7269,69.35,broken clouds,Farol Hotel
37,Broken Hill,AU,-31.95,141.4333,49.71,few clouds,Royal Exchange Hotel
38,General Roca,AR,-39.0333,-67.5833,57.6,overcast clouds,Hotel y Casino del Río General Roca
39,Carnarvon,AU,-24.8667,113.6333,55.47,overcast clouds,Hospitality Carnarvon
40,Kaitangata,NZ,-46.2817,169.8464,42.53,few clouds,Kaitangata Motor Camp
41,Hilo,US,19.7297,-155.09,77.79,overcast clouds,Hilo Hawaiian Hotel
42,Kysyl-Syr,RU,63.8986,122.7617,54.21,broken clouds,
43,East London,ZA,-33.0153,27.9116,61.39,light rain,Tu Casa
45,Pisco,PE,-13.7,-76.2167,64.45,mist,Hotel San Isidro Oficial
46,Hamilton,US,39.1834,-84.5333,67.21,mist,Six Acres Bed & Breakfast
49,Mersing,MY,2.4312,103.8405,76.91,broken clouds,Timotel Hotel
50,Bredasdorp,ZA,-34.5322,20.0403,55.27,scattered clouds,Bredasdorp Country Manor
52,Torbay,CA,47.6666,-52.7314,71.89,few clouds,Gallows Cove
53,Tongliao,CN,43.6125,122.2653,53.49,clear sky,Meirujia Hotel
54,Samarai,PG,-10.6167,150.6667,78.26,overcast clouds,Nuli Sapi
55,Avarua,CK,-21.2078,-159.775,78.85,broken clouds,Paradise Inn
56,Buluang,PH,13.3068,123.3425,78.94,overcast clouds,Enon Beach Resort
57,Gawler,AU,-34.6,138.7333,55.63,clear sky,Eagle Foundry Bed & Breakfast
58,Bowen,AU,-20.0167,148.2333,61.02,broken clouds,Castle Motor Lodge Motel
59,New Norfolk,AU,-42.7826,147.0587,52.92,overcast clouds,The Shingles Riverside Cottages
60,Souillac,MU,-20.5167,57.5167,76.35,few clouds,Shanti Maurice Resort & Spa
61,Hermanus,ZA,-34.4187,19.2345,62.91,scattered clouds,Misty Waves Boutique Hotel
62,Shache,CN,38.4167,77.2406,73.36,broken clouds,Delong Hotel
64,Ampanihy,MG,-24.7,44.75,66.09,few clouds,Angora Hotel
65,Teahupoo,PF,-17.8333,-149.2667,76.96,broken clouds,Vanira Lodge
66,Vaini,TO,-21.2,-175.2,69.96,broken clouds,Keleti Beach Resort
67,Cape Town,ZA,-33.9258,18.4232,63.12,clear sky,Southern Sun Waterfront Cape Town
68,Sao Sepe,BR,-30.1606,-53.5653,71.55,overcast clouds,Trevo Parque Hotel
69,Murdochville,CA,48.9583,-65.5006,50.88,scattered clouds,Les Suites économique Murdochville
70,Inhambane,MZ,-23.865,35.3833,69.78,light rain,Oceano
71,Vila,PT,42.0304,-8.1588,55.74,overcast clouds,Hotel Castrum Villae by Walk Hotels
72,Igrim,RU,63.1906,64.4162,40.8,few clouds,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
73,Sukabumi,ID,-6.9181,106.9267,74.61,overcast clouds,MaxoneHotels.Com @ Bounty Sukabumi
74,Port Hedland,AU,-20.3167,118.5667,69.85,overcast clouds,The Esplanade Hotel
78,Maldonado,UY,-34.6667,-54.9167,56.59,clear sky,La Cimarrona
79,Omsukchan,RU,62.5333,155.8,42.15,few clouds,Zori
81,Geraldton,AU,-28.7667,114.6,52.21,clear sky,Broadwater Mariner Resort
82,Ust-Tarka,RU,55.5672,75.705,51.31,clear sky,Pearl of Siberia
83,Enshi,CN,30.3,109.4833,69.82,light rain,Moevenpick Enshi
84,Sola,VU,-13.8833,167.55,79.39,overcast clouds,Leumerus Bungalows
86,Namibe,AO,-15.1961,12.1522,72.05,overcast clouds,Hotel Chik Chik Namibe
87,Port Alfred,ZA,-33.5906,26.891,61.36,overcast clouds,The Halyards Hotel
88,Husavik,IS,66.0449,-17.3389,55.31,scattered clouds,Bjarnabúð
90,Kodiak,US,57.79,-152.4072,47.71,light rain,Best Western Kodiak Inn And Convention Center
91,Mahebourg,MU,-20.4081,57.7,76.24,few clouds,Shandrani Beachcomber Resort & Spa
92,Kruisfontein,ZA,-34.0033,24.7314,53.89,heavy intensity rain,Oyster Bay House Rental
93,Coihaique,CL,-45.5752,-72.0662,43.41,overcast clouds,Diego De Almagro Coyhaique
96,Port-Cartier,CA,50.0334,-66.8654,71.82,few clouds,Le Q'Artier
97,Opuwo,,-18.0607,13.84,64.22,scattered clouds,ABBA Guesthouse
98,Ponta Do Sol,PT,32.6667,-17.1,66.13,overcast clouds,Hotel do Campo
101,Mehamn,NO,71.0357,27.8492,64.58,clear sky,Mehamn Arctic Hotel AS
102,Yellowknife,CA,62.456,-114.3525,59.52,scattered clouds,The Explorer Hotel
105,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,clear sky,Austral Hotel
107,Berdigestyakh,RU,62.0989,126.6992,50.27,overcast clouds,
109,Kuvshinovo,RU,57.0295,34.1725,49.24,clear sky,Каменка
111,Kota Bahru,MY,6.1333,102.2386,78.75,few clouds,Grand Riverview Hotel
113,Troy,US,42.6056,-83.1499,70.18,light rain,Embassy Suites by Hilton Detroit Troy Auburn Hills
114,Sitka,US,57.0531,-135.33,49.89,overcast clouds,Westmark Sitka
115,Ungra,RO,45.9833,25.2667,53.01,overcast clouds,Motel Rupea
116,Udachnyy,RU,66.4167,112.4,58.26,broken clouds,Severnoye Siyaniye
118,Chuy,UY,-33.6971,-53.4616,62.6,broken clouds,Nuevo Hotel Plaza
120,Liku,ID,-0.7275,119.8922,74.98,scattered clouds,Kost Raisa & homestay
121,Pavlodar,KZ,52.3,76.95,66.0,scattered clouds,Sary Arka
122,Ancud,CL,-41.8697,-73.8203,48.42,moderate rain,Hotel Arena Gruesa
